@relation entrenar
@attribute noun {yes,no}
@attribute prepositional {yes,no}
@attribute CoordinatingConjunction {yes,no}
@attribute SubordinatingConjunction {yes,no}
@attribute ConjuntiveAdverbs {yes,no}
@attribute verbPositive real
@attribute verbNegative real
@attribute adjetivePositive real
@attribute adjetiveNegative real
@attribute numPalabras real
@attribute puntiacion {yes,no}
@attribute resul {neutro,positivo,negativo}
@data
yes,yes,no,no,no,0,1,0,0,26,yes,neutro
yes,yes,no,no,no,0,1,0,0,17,yes,neutro
yes,yes,no,no,no,0,0,0,0,32,yes,neutro
yes,yes,no,no,no,0,1,0,0,11,yes,neutro
yes,yes,no,no,no,0,0,0,0,24,yes,neutro
yes,no,no,no,no,0,2,0,0,4,yes,neutro
yes,yes,no,no,no,0,0,0,0,13,yes,neutro
yes,yes,no,no,no,0,1,0,0,21,yes,neutro
yes,yes,no,no,no,0,1,0,0,27,yes,neutro
yes,yes,no,no,no,0,1,1,0,20,yes,neutro
yes,yes,no,no,no,0,2,1,0,30,yes,negativo
yes,yes,no,no,no,0,1,0,0,27,yes,neutro
yes,yes,no,no,no,0,0,0,0,23,yes,neutro
yes,yes,no,no,no,0,1,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,0,0,18,yes,neutro
yes,yes,no,no,no,0,1,1,0,16,yes,neutro
yes,yes,no,no,no,0,4,0,0,28,yes,negativo
yes,yes,no,no,no,0,0,1,0,55,yes,negativo
yes,yes,no,no,no,0,0,0,0,15,yes,neutro
yes,yes,no,no,no,0,1,0,0,20,yes,neutro
yes,yes,no,no,no,0,1,1,0,38,yes,neutro
yes,yes,no,no,no,0,1,0,0,22,yes,neutro
yes,yes,no,yes,no,0,3,1,0,37,yes,negativo
yes,yes,yes,no,no,0,3,2,0,80,yes,negativo
yes,yes,no,no,no,0,0,0,0,40,yes,neutro
yes,yes,no,no,no,0,2,0,0,20,yes,neutro
yes,yes,no,no,no,0,2,0,0,24,yes,neutro
yes,yes,no,no,no,0,0,1,0,17,yes,neutro
yes,no,no,no,yes,0,0,0,0,7,yes,neutro
yes,yes,no,no,no,0,3,0,0,34,yes,negativo
yes,yes,no,no,no,0,0,0,0,29,yes,neutro
yes,yes,no,no,no,0,2,0,0,15,yes,neutro
yes,yes,no,no,no,0,2,0,0,23,yes,neutro
yes,yes,no,no,no,0,0,0,0,21,yes,neutro
yes,yes,no,no,no,0,1,0,0,33,yes,neutro
yes,yes,no,no,no,0,0,0,0,17,yes,neutro
yes,yes,no,no,no,0,1,0,0,15,yes,neutro
yes,yes,no,no,no,0,3,0,1,22,yes,negativo
yes,yes,no,no,no,0,1,0,0,17,yes,neutro
